name,ingredients
Avocado Quinoa Power Salad,"2 cups water (480 mL), salt, to taste, 1 cup quinoa (170 g), rinsed, 2 cups fresh spinach (80 g), roughly chopped, 1 large cucumber, diced, 4 roma tomatoes, diced, 2 ripe avocados, pits removed and diced, 1 lemon, juiced, 4 tablespoons extra virgin olive oil, pepper, to taste"
Strawberry Cheesecake Macarons,"3 egg whites, room temperature, ¼ cup granulated sugar (50 g), 1 ¾ cups powdered sugar (210 g), 1 cup superfine almond flour (100 g), 3 drops red food coloring, 8 oz cream cheese (225 g), softened, 1 cup powdered sugar (120 g), 2 tablespoons milk, strawberry jam"
One-pot Chickpea Curry (Under 400 Calories),"1 onion, diced, 2 cloves garlic, crushed, 2 teaspoons coriander powder, 1 teaspoon cumin, 1 teaspoon turmeric, 1 pinch chili flakes, 1 pinch salt, 1 ginger, 1 1/2 inch (3 cm) piece, chopped, 4 tomatoes, chopped, 4 tablespoons lentils, 4 tablespoons coconut cream, 1 ⅓ cups broccoli (200 g), florets, 1 can chickpeas, drained and rinsed, ½ cup spinach (100 g), ½ lemon, juiced, low-fat natural yogurt, optional, 1 handful fresh coriander, chopped, optional"
Dutch Oven Jalapeño Cheddar Bread,"3 ½ cups bread flour (445 g), plus more for dusting, 2 ½ cups shredded sharp cheddar cheese (250 g), divided, 2 jalapeño peppers, seeded and coarsely chopped, plus 1, sliced into rings, divided, 1 tablespoon kosher salt, 2 cups warm water (480 mL), 2 ¼ teaspoons instant yeast, 1 tablespoon olive oil, silicone spatula, 1 dutch oven with lid"
Five-Cheese Mac And Cheese,"1 box elbow macaroni, 12 oz evaporated milk (355 mL), 1 can, 3 eggs, 8 tablespoons unsalted butter, 2 cups shredded cheddar cheese (200 g), shredded and divided, 1 cup shredded mozzarella cheese (100 g), shredded, 2 tablespoons feta cheese, crumbled, 1 cup provolone cheese (115 g), cut into small pieces, ½ cup smoked gouda cheese (50 g), shredded, 4 teaspoons salt, divided, 2 teaspoons black pepper"
Cinnamon Roll French Toast Roll-up,"10 slices sandwich bread, 3 tablespoons butter, melted, 3 tablespoons brown sugar, 2 tablespoons cinnamon, 3 eggs, 1 tablespoon milk, ½ teaspoon cinnamon, ½ teaspoon vanilla extract"
Peanut Butter Oat Energy Balls,"½ cup rolled oats (40 g), ⅓ cup peanut butter (80 g), 1 tablespoon honey, 1 tablespoon dark chocolate chip, optional, salt, to taste"
Southwestern-Style Quinoa Salad,"2 tablespoons vegetable oil, 3 cloves garlic, minced, 1 jalapeño, minced, 15 oz black beans (425 g), 15 oz corn (425 g), 3 roma tomatoes, diced, 1 cup quinoa (170 g), rinsed, 2 cups vegetable stock (480 mL), 1 tablespoon chili powder, 2 teaspoons cumin, 1 teaspoon salt, 1 teaspoon pepper, 1 avocado, cubed, 1 lime, juiced, fresh cilantro, to garnish"
3-Cheese Garlic Bread,"1 stick butter, 1 stick, softened, 4 cloves garlic, minced, ⅓ cup parmesan cheese (35 g), ⅓ cup shredded monterey jack cheese (35 g), ⅓ cup shredded cheddar cheese (35 g), ⅓ cup fresh green onion (50 g), sliced, 1 baguette, 8 inch (20 cm)"
Buffalo Cauliflower,"¾ cup all-purpose flour (95 g), 1 teaspoon paprika, 2 teaspoons garlic powder, 1 teaspoon salt, ½ teaspoon pepper, ¾ cup milk or milk alternative (180 mL), 1 head cauliflower, ¼ cup buffalo sauce or hot sauce (70 g), 2 tablespoons coconut oil or vegetable oil, 1 tablespoon honey"
Easy-Peasy Potato Curry,"2 tablespoons vegetable oil, 1 medium yellow onion, diced, 4 cloves garlic, minced, 4 teaspoons curry powder, 1 ½ teaspoons paprika, 1 teaspoon cayenne, 2 teaspoons cumin powder, ½ teaspoon allspice, 2 teaspoons fresh ginger, minced, ½ teaspoon black pepper, 2 lb potato (905 g), peeled and cubed, 15 oz chickpeas (425 g), 1 can, drained, 1 cup vegetable broth (240 mL), 1 tablespoon lemon juice, 14 oz diced tomato (395 g), 1 can, 14 oz coconut milk (415 mL), 1 can, rice, cooked, for serving, naan bread, for serving, fresh cilantro, chopped, for garnish"
Super Fluffy Omelet,"5 large egg whites, 3 large egg yolks, 2 tablespoons unsalted butter, halved, salt, to taste, pepper, to taste, fresh chive, chopped, for garnish"
How To Cook A Perfect Risotto,"6 cups low-sodium chicken stock, or vegetable stock, 2 tablespoons olive oil, 1 shallot, finely chopped, 1 lb shiitake mushroom (455 g), stemmed and thinly sliced, 2 tablespoons unsalted butter, 2 cloves garlic, minced, 1 teaspoon finely chopped fresh thyme leaves, kosher salt, to taste, freshly ground black pepper, to taste, 1 ½ cups arborio rice (200 g), ½ cup white wine (120 mL), or lemon juice, 1 cup grated parmesan cheese (110 g), plus more for serving, ¼ cup fresh parsley (10 g), for serving"
One-Pot Basil Pasta,"¼ onion, finely chopped, 2 cloves garlic, crushed, ½ cup baby plum tomatoes (100 g), halved, or regular tomatoes, chopped into small pieces, ⅓ cup chopped fresh basil (15 g), plus a few sprigs to decorate, ⅓ cup Chopped fresh parsley (15 g), 5 oz linguine (150 g), or spaghetti, salt, to taste, pepper, to taste, 1 pinch red pepper flakes, 2 tablespoons olive oil, 2 ½ cups cold water (600 mL), parmesan cheese, to garnish"
3-Ingredient Breakfast Cookies,"1 cup oats (100 g), 2 bananas, mix-in of choice, such as sliced almonds, shredded coconut, crushed chocolate sandwich cookies, chopped walnuts, chocolate chips, or peanut butter"
On-The-Go Pancake Muffins,"2 cups flour (250 g), 2 teaspoons baking powder, ¼ teaspoon salt, 2 eggs, 1 ½ cups milk (355 mL), 2 tablespoons maple syrup, 2 tablespoons butter, melted, 2 tablespoons chocolate chips, 12 raspberries, ¼ cup blueberry (25 g), ½ banana, sliced"
Pull-Apart Garlic Rolls,"1 refrigerated biscuit, tube, 3 tablespoons butter, melted, ½ teaspoon garlic powder, 2 tablespoons fresh parsley, minced, 1 cup shredded mozzarella cheese (100 g)"
Fajita Pasta Bake,"1 yellow bell pepper, seeded and sliced, 1 green bell pepper, seeded and sliced, 1 red bell pepper, seeded and sliced, 2 ½ cups mushroom (185 g), sliced, 1 medium yellow onion, diced, 1 tablespoon chili powder, 1 tablespoon paprika, 1 tablespoon garlic powder, 1 tablespoon cumin, 1 teaspoon salt, 1 teaspoon pepper, 3 tablespoons olive oil, 4 cups penne pasta (400 g), uncooked, 1 ½ cups sour cream (345 g), 3 cups shredded pepper jack  cheese (300 g), fresh parsley, chopped. for garnish"
Slow Cooker Coconut Curry,"1 cup water (240 mL), 1 large head broccoli, cut into florets, 15 oz organic chickpeas (425 g), drained and rinsed, 1 medium sweet potato, or large, peeled and cubed, 1 medium white onion, diced, ¼ cup quinoa (40 g), uncooked, 2 cloves garlic, minced, 1 teaspoon fresh ginger, minced, 1 teaspoon red pepper flakes, 1 tablespoon ground turmeric, 2 teaspoons tamari, 2 teaspoons salt, 28 oz canned diced tomatoes (795 g), 30 oz coconut milk, cooked rice, for serving, fresh parsley, chopped, for serving, optional"
Easy Chickpea Curry (Channa Masala),"1 tablespoon olive oil, 1 large yellow onion, diced, 2 cloves garlic, minced, 1 tablespoon grated fresh ginger, 1 green chile, or jalapeño, seeded and finely chopped, 2 tablespoons garam masala, 1 teaspoon turmeric, 1 teaspoon kosher salt, 1 teaspoon freshly ground black pepper, 2 cups diced tomatoes (400 g), 30 oz chickpeas (425 g), drained and rinsed, ½ cup water (120 mL), ½ lemon, juiced, ¼ cup chopped fresh cilantro (10 g), chopped, cooked basmati rice, for serving (optional), naan bread, for serving (optional)"
4-Minute Mug Cinnamon Rolls,"1 tablespoon unsalted butter, 2 tablespoons brown sugar, ½ teaspoon cinnamon, 1 large egg, 1 teaspoon vanilla extract, 1 tablespoon granulated sugar, 2 tablespoons whole milk, 1 ½ cups pancake mix (180 g), all purpose flour, for dusting, nonstick cooking spray, for greasing, 2 teaspoons water, 6 tablespoons powdered sugar, 1 tablespoon whole milk"
Chickpea Sweet Potato Stew,"2 tablespoons refined coconut oil, 1 small onion, diced, 3 cloves garlic, minced, 1 teaspoon ginger, minced, 1 tablespoon sweet paprika, ½ teaspoon cumin, ¼ teaspoon dried coriander, ⅛ teaspoon cayenne, 15 oz canned chickpeas (425 g), drained and rinsed, 2 cups peeled and diced sweet potatoes (400 g), 15 oz canned fire-roasted crushed tomatoes (425 g), 3 cups vegetable broth (720 mL), 5 oz fresh spinach (140 g)"
Penne With Tomato Sauce,"2 tablespoons olive oil, ½ medium onion, finely diced, ½ teaspoon red chili flakes, 1 clove garlic, minced, 14 oz crushed tomato (395 g), 1 can, salt, to taste, ½ lb penne pasta (225 g)"
Cream Cheese-Filled Banana Bread Muffins,"1 large egg, beaten, ½ cup light brown sugar (110 g), ¼ cup granulated sugar (50 g), ½ cup butter (115 g), softened, ¼ cup sour cream (60 g), greek yogurt may be substituted, 1 teaspoon vanilla extract, 2 ripe bananas, 1 cup all-purpose flour (125 g), ½ teaspoon baking soda, ½ teaspoon baking powder, 1 large egg, 4 oz cream cheese (115 g), softened, ¼ cup granulated sugar (50 g), 3 tablespoons all-purpose flour"
Curry Noodle Soup,"2 tablespoons refined coconut oil, 3 cloves garlic, minced, 1 tablespoon minced fresh ginger, 2 ½ tablespoons red curry paste, 15 oz coconut milk (440 mL), 3 cups vegetable broth (720 mL), 1 tablespoon agave, 8 oz rice noodles (225 g), 7 oz tofu (200 g), cubed, 2 cups broccoli florets (300 g), 1 red bell pepper, thinly sliced, 1 tablespoon lime juice, kosher salt, to taste, chopped fresh cilantro, for garnish"
Vegetable Dumpling Soup,"1 cup flour (125 g), 1 teaspoon baking powder, ½ teaspoon salt, 4 tablespoons olive oil, divided, ½ cup warm water (120 mL), 1 onion, diced, 2 carrots, diced, 2 cloves garlic, minced, 1 teaspoon dried dill, ½ teaspoon dried sage, ½ teaspoon dried thyme, ½ teaspoon pepper, 2 cups potato (400 g), diced, 6 cups vegetable broth (1 L), 2 dried bay leaves, finely chopped fresh parsley, for garnish"
Easy Homemade Potato Gnocchi,"1 teaspoon kosher salt, plus more for boiling potatoes, 4 medium russet potatoes, 1 teaspoon freshly ground black pepper, 1 large egg, 1 ½ cups all-purpose flour (190 g), plus more for dusting, 2 tablespoons unsalted butter, 1 large sprig fresh sage leaves"
Cinnamon Roll Pancakes With Chloe Coscarelli,"1 cup all-purpose flour (125 g), 2 teaspoons baking powder, ½ teaspoon sea salt, 1 cup almond milk (240 mL), 2 tablespoons maple syrup, 3 tablespoons vegan margarine, or refined coconut oil, at room temperature, 5 tablespoons light brown sugar, 2 teaspoons ground cinnamon, vegetable oil, for greasing, 2 cups confectioners sugar (240 g), ¼ cup water (60 mL)"
Flakiest Biscuits By Angie Thomas,"4 cups biscuit flour (500 g), or all-purpose flour, plus more for dusting, 4 teaspoons baking powder, ½ teaspoon baking soda, 1 teaspoon salt, 1 cup unsalted butter (230 g), 2 sticks, cubed, very cold, 1 cup buttermilk (240 mL), plus 2 tablespoons, butter, melted, for brushing"
3-ingredient Peanut Butter Cups,"3 tablespoons powdered sugar, sifted, ½ cup creamy peanut butter (120 g), 1 cup chocolate (170 g), melted"
Ultimate Mashed Potatoes,"2 lb Yukon Gold potatoes (905 g), ½ cup whole milk (120 mL), ½ cup heavy cream (120 mL), 8 cloves garlic, crushed, ½ cup unsalted butter (115 g), cubed, cold, 2 teaspoons kosher salt, freshly ground black pepper, to taste, finely chopped fresh chive, for serving"
"Low-Carb Zucchini ""Ravioli""","2 medium zucchinis, olive oil, to taste, 2 cloves garlic, minced, 2 cups fresh spinach (80 g), chopped, 1 cup ricotta cheese (250 g), 2 tablespoons fresh basil, finely sliced, salt, to taste, pepper, to taste, 1 cup marinara sauce (260 g), ½ cup shredded mozzarella cheese (50 g)"
Roasted Garlic Parmesan Brussels Sprouts,"1 lb brussels sprouts (455 g), halved, 4 tablespoons olive oil, ½ teaspoon salt, 1 teaspoon pepper, 1 teaspoon garlic powder, ¼ cup bread crumbs (30 g), ¼ cup grated parmesan cheese (30 g)"
Potato Leek Soup,"2 tablespoons butter, 3 large leeks, chopped, 3 cloves garlic, minced, 2 lb potato (910 g), cubed, salt, to taste, pepper, to taste, 6 cups vegetable broth (1.5 L), 2 cups water (480 mL), 2 sprigs fresh thyme, 1 bay leaf, ¼ cup fresh chives (10 g), chopped, hot sauce, to taste"
Strawberries & Cream Mug Cake,"4 tablespoons flour, 3 tablespoons sugar, ½ teaspoon baking powder, 2 strawberries, diced, 3 tablespoons milk, 1 tablespoon oil, 1 teaspoon vanilla extract, 1 strawberry, for topping, optional, whipped topping, for topping, optional"
Roasted Garlic Parmesan Potatoes,"3 russet potatoes, sliced, 4 tablespoons olive oil, salt, to taste, pepper, to taste, 2 teaspoons garlic powder, 2 teaspoons italian seasoning, 1 teaspoon paprika, ½ cup parmesan cheese (50 g), shredded, fresh parsley, chopped"
Simple Dinner Rolls,"1 cup warm water (240 mL), 2 tablespoons olive oil, 2 tablespoons honey, 2 teaspoons salt, 3 ⅓ cups flour (415 g), 1 ½ teaspoons yeast, 1 egg, for egg wash"
Easily The Best Garlic Herb Roasted Potatoes,"13 russet potatoes, cut into 1-inch (2 1/2 cm) pieces, 1 teaspoon baking soda, 1 teaspoon salt, ¼ cup olive oil (60 mL), 2 tablespoons garlic, minced, 2 tablespoons fresh rosemary, or fresh thyme, finely chopped, 1 teaspoon black pepper, salt, to taste, pepper, to taste, 1 small handful fresh parsley leaf, minced to garnish"
Black Bean Burgers,"2 cans black beans, rinsed and drained, 1 onion, minced, 3 cloves garlic, minced, 2 carrots, shredded, ½ cup quick-cooking oats (50 g), 1 tablespoon soy sauce, 1 tablespoon olive oil, 1 teaspoon cumin, ½ teaspoon coriander, ½ teaspoon chili powder, ¼ teaspoon cayenne pepper, salt, to taste, pepper, to taste, 4 buns of choice"
Strawberry Chocolate Overnight Oats,"½ cup rolled oats (40 g), ⅓ cup almond milk (80 mL), or preferred milk, ¼ cup greek yogurt (70 g), 1 teaspoon maple syrup, 1 teaspoon cocoa powder, 2 strawberries, diced"
Green Mac ‘n’ Cheese,"4 cups fresh spinach (160 g), packed, ½ cup fresh parsley (15 g), 2 ½ cups milk (600 g), divided, 5 qt water (4 ¾ L), 1 tablespoon salt, 1 lb elbow macaroni (455 g), ¼ cup butter (60 g), ¼ cup flour (30 g), 2 teaspoons garlic powder, 2 teaspoons onion powder, 1 teaspoon paprika, 1 teaspoon pepper, 1 teaspoon salt, 1 lb white cheddar cheese (455 g), ½ cup mozzarella cheese (55 g)"
Creamy Dairy-Free One-Pot Pasta,"olive oil, to taste, 1 onion, diced, 3 cloves garlic, minced, 2 tablespoons tomato paste, 1 pt grape tomatoes (400 g), halved, salt, to taste, pepper, to taste, 2 ½ cups vegetable broth (600 mL), 2 ½ cups non-dairy milk (600 mL), 16 oz dried pasta (455 g), 5 oz fresh spinach (40 g), ⅓ cup nutritional yeast (20 g)"
Classic Deviled Eggs,"12 eggs, ½ cup mayonnaise (115 g), 1 tablespoon yellow mustard, 1 tablespoon relish, 1 teaspoon salt, 1 teaspoon pepper, paprika, 1 tablespoon fresh parsley leaves"
Butternut Squash Soup,"2 teaspoons butter, 3 cloves garlic, minced, ½ cup onion (75 g), chopped, 1 potato, peeled and cubed, 1 stalk celery, chopped, 1 carrot, sliced, salt, to taste, pepper, to taste, 2 lb butternut squash (905 g), peeled, seeded, and cubed, 6 cups vegetable broth (1.5 L), 2 cups water (480 mL), 1 bay leaf, 2 sprigs fresh thyme"
Simple Scrambled Eggs,"4 large eggs, kosher salt, to taste, freshly ground black pepper, to taste, 1 tablespoon unsalted butter"
Simple Veggie Curry,"2 tablespoons salt, for water, 2 lb potatoes (905 g), cut into 1-inch (2 cm) cubes, 1 tablespoon vegetable oil, 1 medium onion, diced, 4 cloves garlic, minced, 2 teaspoons cumin, 1 teaspoon cayenne pepper, 4 teaspoons curry powder, 1 teaspoon salt, 1 teaspoon black pepper, 1 1-inch piece fresh ginger, minced, 14 oz canned diced tomatoes (395 g), 15 oz canned chickpeas (425 g), drained, 15 oz canned peas (425 g), drained, 14 oz canned full-fat coconut milk (395 g)"
